code,borough,income_annual,income_monthly,rent_monthly,house_price,income_deprivation,affordability
E09000001,City of London,60700,5058.333333333333,2300,737067,0.065,0.4546952224052719
E09000002,Barking and Dagenham,28600,2383.3333333333335,1350,359807,0.194,0.5664335664335663
E09000003,Barnet,34400,2866.6666666666665,1450,588123,0.111,0.5058139534883721
E09000004,Bexley,31800,2650,1250,412226,0.106,0.4716981132075472
E09000005,Brent,29400,2450,1650,552414,0.155,0.673469387755102
E09000006,Bromley,38100,3175,1300,528759,0.091,0.4094488188976378
E09000007,Camden,40600,3383.3333333333335,2000,794413,0.141,0.5911330049261083
E09000008,Croydon,31800,2650,1250,395341,0.136,0.4716981132075472
E09000009,Ealing,31500,2625,1550,579970,0.14,0.5904761904761905
E09000010,Enfield,31300,2608.3333333333335,1350,472725,0.171,0.5175718849840255
E09000011,Greenwich,33800,2816.6666666666665,1525,477909,0.159,0.5414201183431953
E09000012,Hackney,34300,2858.3333333333335,2000,622207,0.196,0.6997084548104956
E09000013,Hammersmith and Fulham,38300,3191.6666666666665,1850,729613,0.142,0.5796344647519582
E09000014,Haringey,31800,2650,1625,637041,0.17,0.6132075471698113
E09000015,Harrow,33200,2766.6666666666665,1400,532088,0.109,0.5060240963855422
E09000016,Havering,32000,2666.6666666666665,1250,447868,0.108,0.46875
E09000017,Hillingdon,31900,2658.3333333333335,1300,477980,0.114,0.4890282131661442
E09000018,Hounslow,30600,2550,1495,513233,0.129,0.5862745098039216
E09000019,Islington,40300,3358.3333333333335,2000,700045,0.179,0.5955334987593052
E09000020,Kensington and Chelsea,47700,3975,2396,1198295,0.117,0.6027672955974843
E09000021,Kingston-upon-Thames,37300,3108.3333333333335,1400,578273,0.078,0.45040214477211793
E09000022,Lambeth,35800,2983.3333333333335,1800,546264,0.153,0.6033519553072625
E09000023,Lewisham,34500,2875,1450,498564,0.164,0.5043478260869565
E09000024,Merton,36400,3033.3333333333335,1500,613854,0.1,0.49450549450549447
E09000025,Newham,28900,2408.3333333333335,1650,401544,0.169,0.6851211072664359
E09000026,Redbridge,31200,2600,1375,517463,0.121,0.5288461538461539
E09000027,Richmond-upon-Thames,45300,3775,1571,795023,0.064,0.416158940397351
E09000028,Southwark,36200,3016.6666666666665,1725,588648,0.162,0.5718232044198895
E09000029,Sutton,33400,2783.3333333333335,1250,450772,0.095,0.4491017964071856
E09000030,Tower Hamlets,37300,3108.3333333333335,1850,464488,0.192,0.5951742627345844
E09000031,Waltham Forest,32500,2708.3333333333335,1400,522883,0.152,0.5169230769230769
E09000032,Wandsworth,42200,3516.6666666666665,1750,681998,0.107,0.49763033175355453
E09000033,Westminster,42600,3550,2492,912812,0.135,0.7019718309859155
